GEOID,NAME,inc_n,fem_n,sexf_n,inc_pct,gi_z,gi,lisa,lisa_sig,streetlight_n,poor_pave_ft,street_ft,sidewalk_n,dist_subway_km,vacant_n,aband_n,poverty_rate,renter_share,vacancy_rate,female_pop,total_pop
36047027700,Census Tract 277; Kings County; New York,190,95,0,4.415524052986289,-0.6446667861268345,Not significant,Not significant,Not significant,29,481.04949477292143,52149.78739374359,18,0.7873378898650162,2,10,0.2876808212785814,0.8542168674698796,0.13270637408568442,2394,4303
36047028400,Census Tract 284; Kings County; New York,148,41,0,4.0272108843537415,-1.136952344878307,Not significant,Not significant,Not significant,57,4565.182853416865,61233.93494963253,16,0.14042048759415313,5,1,0.211156462585034,0.8685121107266436,0.020338983050847456,1926,3675
36047036002,Census Tract 360.02; Kings County; New York,110,35,0,2.948271240954168,-0.3053151056517371,Not significant,Not significant,Not significant,25,984.215932144927,26387.22488023955,15,0.14034279259605983,0,2,0.2463768115942029,0.932364956876986,0.0076576576576576575,2528,3731
36047036300,Census Tract 363; Kings County; New York,234,93,0,4.30939226519337,1.2855301071552934,Not significant,Not significant,Not significant,57,13038.241740596735,125188.14931878762,14,0.8055012699479112,23,4,0.19447513812154696,0.7895486935866983,0.0775635407537248,3075,5430
36047034200,Census Tract 342; Kings County; New York,120,68,1,1.7999100044997751,0.06117860349979097,Not significant,Not significant,Not significant,16,7064.845010785714,76155.25166488363,13,1.3733099982379444,5,0,0.3397397094430993,0.9518278100444141,0.05489183080400387,4035,6667
36047040100,Census Tract 401; Kings County; New York,146,47,0,4.353011329755516,-0.14535488262126947,Not significant,Not significant,Not significant,95,3100.2095838408445,52355.93580571028,17,0.32285947597172854,12,9,0.2759032547028964,0.7955682630450321,0.07350993377483443,1729,3354
36047041500,Census Tract 415; Kings County; New York,143,54,0,3.3255813953488373,-0.10362058115223859,Not significant,Not significant,Not significant,32,1574.003930168173,66594.60392328579,20,0.6461643428494772,1,4,0.14674418604651163,0.7859308671922377,0.07825600894354388,2283,4300
36047045400,Census Tract 454; Kings County; New York,34,14,0,1.6385542168674698,-2.124611847416749,Cold 99%,Low-Low,p <= 0.001,17,13876.287653917201,71274.76403927429,11,0.4887380525517926,2,0,0.11662650602409638,0.5875706214689266,0.08919382504288165,902,2075
36047047400,Census Tract 474; Kings County; New York,40,10,0,1.2457178449081283,-1.8721372045075988,Cold 99%,Low-Low,p <= 0.001,48,1780.3694385345275,63076.93844455537,36,0.4716934321055259,6,1,0.24883213952039862,0.5816186556927297,0.1342042755344418,1469,3211
36047049200,Census Tract 492; Kings County; New York,89,18,0,2.857142857142857,-1.0494352170907917,Not significant,Not significant,Not significant,32,9359.387784187638,61858.27693062784,36,0.5347986960168792,4,1,0.17043253712072304,0.6192368839427663,0.07021433850702144,1646,3115
36047043200,Census Tract 432; Kings County; New York,134,45,0,3.458957150232318,-1.0900680059495953,Not significant,Not significant,Not significant,34,9600.750059786746,67385.52783358457,30,0.15832280794005224,0,0,0.14945792462570986,0.659217877094972,0.03569023569023569,2172,3874
36047050500,Census Tract 505; Kings County; New York,145,54,0,3.518563455471973,-0.1521880995528913,Not significant,Not significant,Not significant,47,12151.277654084375,73241.51199977979,17,0.4272626597136553,0,3,0.34433389953894683,0.905458089668616,0.009174311926605505,2274,4121
36047052300,Census Tract 523; Kings County; New York,198,70,0,3.899940909986212,1.618568120340973,Not significant,Not significant,Not significant,31,14151.61601687712,68193.14928742236,24,0.37753825732869095,2,1,0.26354146149300767,0.8218893050353725,0.02633711507293355,2903,5077
36047055800,Census Tract 558; Kings County; New York,79,30,0,3.682983682983683,-1.2072788532713743,Not significant,Not significant,Not significant,54,5281.187186143146,55405.52622844836,24,0.4857091560787786,3,1,0.16923076923076924,0.6904761904761905,0.12586719524281467,1116,2145
36047057400,Census Tract 574; Kings County; New York,48,17,0,1.8133736305251227,-1.8012711190510167,Cold 99%,Low-Low,p <= 0.01,54,496.29504362461233,56457.155384423946,18,1.0023584418039513,0,2,0.11522478277295051,0.33880903490759756,0.04975609756097561,1361,2647
36047058400,Census Tract 584; Kings County; New York,128,78,55,3.5674470457079153,-1.6643960561183488,Cold 99%,Low-Low,p <= 0.01,30,8151.988007692925,57640.1248175129,21,0.32445043743527907,7,3,0.15663322185061315,0.6194814295725298,0.08172458172458172,1905,3588
36047059100,Census Tract 591; Kings County; New York,118,46,0,2.98582995951417,-0.7307337997635597,Not significant,Not significant,Not significant,54,4928.811613786063,64273.14303309058,35,0.7162155512540872,1,2,0.05060728744939271,0.8371154815935451,0.059297912713472484,2308,3952
36047052800,Census Tract 528; Kings County; New York,40,12,0,2.2675736961451247,-1.7283834717803812,Cold 99%,Low-Low,p <= 0.01,28,25827.173373964135,70363.45682274514,14,0.1931371243080784,0,2,0.14965986394557823,0.3803680981595092,0.057803468208092484,883,1764
36047053200,Census Tract 532; Kings County; New York,83,36,0,3.6403508771929824,-1.7357932193768508,Cold 99%,Low-Low,p <= 0.01,37,1048.3887751611674,46896.82634457085,20,0.1386992964852832,3,2,0.17192982456140352,0.512114537444934,0.1669724770642202,1261,2280
36047062600,Census Tract 626; Kings County; New York,84,28,0,2.757715036112935,-1.3187071067955598,Cold 95%,Low-Low,p <= 0.05,59,16040.67270461654,107648.63431314939,16,1.7789019352110849,4,1,0.20026263952724885,0.3887468030690537,0.016764459346186086,1533,3046
36047066000,Census Tract 660; Kings County; New York,19,3,0,1.0036978341257263,-1.7548822380264701,Cold 99%,Low-Low,p <= 0.01,40,2583.8259064322165,44890.752279015156,13,2.509979549719969,2,0,0.07554146856840993,0.16358024691358025,0.06358381502890173,1020,1893
36047081800,Census Tract 818; Kings County; New York,197,79,0,4.246604871739599,0.37852508213642216,Not significant,Not significant,Not significant,29,7450.124815300691,54195.92137981647,15,0.28408277029130763,5,2,0.3233707865168539,0.7307286166842661,0.22089675030851502,2953,4639
36047084600,Census Tract 846; Kings County; New York,105,39,0,5.1521099116781155,-1.149837771569713,Not significant,Not significant,Not significant,45,8628.801605841203,72860.91280687321,9,1.7911314643415532,1,0,0.08243375858684986,0.3882896764252696,0.13925729442970822,1178,2038
36047086600,Census Tract 866; Kings County; New York,111,47,0,3.719839142091153,-0.8300730355267398,Not significant,Not significant,Not significant,66,16139.040412568907,83310.39199459927,13,0.9773445803786026,2,1,0.15646492434662998,0.7461969575660529,0.13022284122562675,1545,2984
36047073000,Census Tract 730; Kings County; New York,50,16,0,2.370791844476055,-2.168824718196508,Cold 99%,Low-Low,p <= 0.001,57,14249.108700046836,79760.33879039981,13,1.6740746262406843,9,7,0.027514231499051234,0.3076923076923077,0.07605985037406483,1161,2109
36047075400,Census Tract 754; Kings County; New York,27,11,0,2.7,-1.9834902372276053,Cold 99%,Low-Low,p <= 0.001,24,0,54122.58692612987,21,0.8507103262344652,0,0,0.015,0.17990654205607476,0.19245283018867926,462,1000
36047093400,Census Tract 934; Kings County; New York,85,36,0,3.9080459770114944,-0.9472940189977025,Not significant,Not significant,Not significant,31,14194.693038357682,75322.29025217319,8,1.410272194886715,8,2,0.1626704278326281,0.4875406283856988,0.14930875576036867,1293,2175
36047096600,Census Tract 966; Kings County; New York,62,27,0,3.2926181625066384,-1.4643247535960988,Cold 95%,Low-Low,p <= 0.05,24,28887.02199689106,91149.39905064665,13,0.676685617003465,9,1,0.1656930430164631,0.3503184713375796,0.24519230769230768,1149,1883
